time,encounter,minute,behavior,call_type,call_category,t_index
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,dws,ws,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,flatws,ws,-8
10H 54M 0S,3,10,Travel,pulse.flat.seg,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat.seg,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat.seg,pc,-8
10H 54M 0S,3,10,Travel,pulse.flat,pc,-8
10H 55M 0S,3,11,Travel,pulse.flat.seg,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,pulse.flat,pc,-7
10H 55M 0S,3,11,Travel,dws,ws,-7
10H 55M 0S,3,11,Travel,flatws,ws,-7
10H 56M 0S,3,12,Travel,pulse.d,pc,-6
10H 56M 0S,3,12,Travel,flatws,ws,-6
10H 56M 0S,3,12,Travel,flatws.seg,ws,-6
10H 56M 0S,3,12,Travel,dws,ws,-6
10H 56M 0S,3,12,Travel,pulse.flat,pc,-6
10H 56M 0S,3,12,Travel,pulse.flat.seg,pc,-6
10H 56M 0S,3,12,Travel,pulse.flat,pc,-6
10H 56M 0S,3,12,Travel,flatws,ws,-6
10H 56M 0S,3,12,Travel,flatws,ws,-6
10H 56M 0S,3,12,Travel,dws,ws,-6
10H 56M 0S,3,12,Travel,dws,ws,-6
10H 56M 0S,3,12,Travel,flatws,ws,-6
10H 56M 0S,3,12,Travel,flatws,ws,-6
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws.seg,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 57M 0S,3,13,Travel,flatws,ws,-5
10H 58M 0S,3,14,Travel,dws,ws,-4
10H 58M 0S,3,14,Travel,dws,ws,-4
10H 58M 0S,3,14,Travel,pulse.mod,pc,-4
10H 58M 0S,3,14,Travel,pulse.mod,pc,-4
10H 58M 0S,3,14,Travel,dws,ws,-4
10H 58M 0S,3,14,Travel,dws,ws,-4
10H 59M 0S,3,15,Travel,dws,ws,-3
10H 59M 0S,3,15,Travel,pulse.flat.seg,pc,-3
10H 59M 0S,3,15,Travel,flatws.seg,ws,-3
10H 59M 0S,3,15,Travel,pulse.mod,pc,-3
10H 59M 0S,3,15,Travel,modws,ws,-3
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,flatws,ws,-3
10H 59M 0S,3,15,Travel,dws,ws,-3
10H 59M 0S,3,15,Travel,uws,ws,-3
10H 59M 0S,3,15,Travel,uws,ws,-3
10H 59M 0S,3,15,Travel,aws,ws,-3
10H 59M 0S,3,15,Travel,modws,ws,-3
10H 59M 0S,3,15,Travel,dws,ws,-3
10H 59M 0S,3,15,Travel,modws.seg,ws,-3
11H 0M 0S,3,16,Travel,dws.seg,ws,-2
11H 0M 0S,3,16,Travel,dws,ws,-2
11H 1M 0S,3,17,Travel,flatws,ws,-1
11H 2M 0S,3,18,Mill,dws,ws,0
11H 3M 0S,3,19,Mill,flatws,ws,1
11H 4M 0S,3,20,Mill,NA,NA,2
11H 5M 0S,3,21,Mill,NA,NA,3
11H 6M 0S,3,22,Mill,NA,NA,4
11H 7M 0S,3,23,Mill,flatws,ws,5
11H 8M 0S,3,24,Mill,NA,NA,6
11H 9M 0S,3,25,Mill,NA,NA,7
11H 10M 0S,3,26,Mill,NA,NA,8
11H 11M 0S,3,27,Mill,NA,NA,9
11H 12M 0S,3,28,Mill,NA,NA,10
11H 13M 0S,3,29,Mill,c.8,cc,11
11H 14M 0S,3,30,Mill,NA,NA,12
11H 15M 0S,3,31,Mill,NA,NA,13
11H 16M 0S,3,32,Mill,NA,NA,14
11H 17M 0S,3,33,Mill,NA,NA,15
11H 18M 0S,3,34,Mill,NA,NA,16
11H 19M 0S,3,35,Mill,NA,NA,17
11H 20M 0S,3,36,Mill,NA,NA,18
11H 21M 0S,3,37,Mill,NA,NA,19
11H 22M 0S,3,38,Mill,NA,NA,20
11H 49M 0S,7,1,Travel,NA,NA,-20
11H 50M 0S,7,2,Travel,NA,NA,-19
11H 51M 0S,7,3,Travel,NA,NA,-18
11H 52M 0S,7,4,Travel,NA,NA,-17
11H 53M 0S,7,5,Travel,NA,NA,-16
11H 54M 0S,7,6,Travel,NA,NA,-15
11H 55M 0S,7,7,Travel,NA,NA,-14
11H 56M 0S,7,8,Travel,NA,NA,-13
11H 57M 0S,7,9,Travel,NA,NA,-12
11H 58M 0S,7,10,Travel,NA,NA,-11
11H 59M 0S,7,11,Travel,NA,NA,-10
12H 0M 0S,7,12,Travel,flatws,ws,-9
12H 0M 0S,7,12,Travel,flatws,ws,-9
12H 0M 0S,7,12,Travel,aws,ws,-9
12H 0M 0S,7,12,Travel,flatws,ws,-9
12H 0M 0S,7,12,Travel,dws,ws,-9
12H 0M 0S,7,12,Travel,flatws,ws,-9
12H 0M 0S,7,12,Travel,aws,ws,-9
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,aws.seg,ws,-8
12H 1M 0S,7,13,Travel,aws.seg,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,aws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,dws,ws,-8
12H 1M 0S,7,13,Travel,aws.seg,ws,-8
12H 1M 0S,7,13,Travel,aws.seg,ws,-8
12H 1M 0S,7,13,Travel,aws,ws,-8
12H 1M 0S,7,13,Travel,aws,ws,-8
12H 1M 0S,7,13,Travel,aws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 1M 0S,7,13,Travel,flatws,ws,-8
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 2M 0S,7,14,Travel,aws,ws,-7
12H 3M 0S,7,15,Travel,NA,NA,-6
12H 4M 0S,7,16,Travel,NA,NA,-5
12H 5M 0S,7,17,Travel,NA,NA,-4
12H 6M 0S,7,18,Travel,NA,NA,-3
12H 7M 0S,7,19,Travel,NA,NA,-2
12H 8M 0S,7,20,Travel,NA,NA,-1
12H 9M 0S,7,21,Mill,NA,NA,0
12H 10M 0S,7,22,Mill,NA,NA,1
12H 11M 0S,7,23,Mill,NA,NA,2
12H 12M 0S,7,24,Mill,NA,NA,3
12H 13M 0S,7,25,Mill,NA,NA,4
12H 14M 0S,7,26,Mill,NA,NA,5
12H 15M 0S,7,27,Mill,NA,NA,6
12H 16M 0S,7,28,Mill,NA,NA,7
12H 17M 0S,7,29,Mill,NA,NA,8
12H 18M 0S,7,30,Mill,NA,NA,9
12H 19M 0S,7,31,Mill,NA,NA,10
12H 20M 0S,7,32,Mill,NA,NA,11
12H 21M 0S,7,33,Mill,NA,NA,12
12H 22M 0S,7,34,Mill,NA,NA,13
12H 23M 0S,7,35,Mill,NA,NA,14
12H 24M 0S,7,36,Mill,NA,NA,15
12H 25M 0S,7,37,Mill,NA,NA,16
12H 26M 0S,7,38,Mill,NA,NA,17
12H 27M 0S,7,39,Mill,NA,NA,18
